TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
200101,1.41151,1.24216,1.38868,0.0821559,-0.156905,0.318462,1.71733,1.49553,1.6786,1.98254,1.69501,1.91014,-9999,-9999
200102,1.41608,1.25187,1.39395,0.0711816,-0.17113,0.310772,1.72017,1.50405,1.68137,1.68676,1.45351,1.62426,-9999,-9999
200103,1.41626,1.25291,1.3942,0.0864233,-0.155134,0.326305,1.72023,1.50477,1.68143,1.79427,1.54595,1.73113,-9999,-9999
200104,1.43576,1.29807,1.41695,0.105454,-0.139527,0.357751,1.73202,1.54523,1.69296,1.50555,1.33929,1.46134,-9999,-9999
200105,1.38333,1.18956,1.35662,0.0494775,-0.185091,0.273077,1.69904,1.44839,1.66072,1.33223,1.21177,1.29731,-9999,-9999
200106,1.3935,1.20797,1.36815,0.0556644,-0.181793,0.284023,1.70571,1.46516,1.66724,1.27253,1.15611,1.239,-9999,-9999
200107,1.36565,1.15134,1.33618,0.0133151,-0.220403,0.227361,1.68808,1.41678,1.65001,1.31996,1.19636,1.28515,-9999,-9999
200108,1.3689,1.16585,1.34043,0.0412406,-0.0983485,0.272237,1.68935,1.42556,1.65124,0.94632,0.901215,0.923703,-9999,-9999
200109,1.72712,1.68179,1.71297,0.877973,0.877973,1.12211,1.71059,1.66714,1.71059,1.4195,1.40762,1.42941,-9999,-9999
200110,3.98502,3.99692,4.25494,3.77633,3.65537,3.88018,9.35741,3.47043,11.3327,5.86653,3.36379,6.79607,-9999,-9999
200111,4.33054,4.35579,4.49573,5.74088,5.64882,5.84923,3.50003,3.13008,3.61765,5.14183,4.96063,5.14929,-9999,-9999
200112,5.01933,5.02121,5.34839,7.0835,7.11433,7.40128,5.3062,5.21723,5.33924,7.22494,7.20316,7.25178,-9999,-9999
200201,7.48885,7.07413,7.40905,9.55106,9.43662,10.0264,3.20595,2.33341,2.96717,5.89641,5.42659,5.8763,-9999,-9999
200202,4.25342,4.0953,4.38956,9.37091,9.08973,9.32591,3.24677,2.36312,3.00495,4.2511,3.90877,4.24563,-9999,-9999
