TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_25,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_25,RECO_DT_VUT_75,RECO_DT_VUT_95,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,GPP_DT_VUT_25,GPP_DT_VUT_75,RECO_DT_VUT_25,RECO_NT_VUT_25,RECO_NT_VUT_75,RECO_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
199901,0.663236,0.663346,0.62551,0.00567156,0.552734,0.597138,0.650434,0.662861,0.663236,0.55103,0.549439,0.549316,0.00181973,0.515818,0.545738,0.55103,0.571581,-0.0660757,0.0747691,-0.110555,-0.0660211,0.0735342,0.0758024,0.545738,0.597138,0.650434,0.55103,-9999,-9999
199902,0.30387,0.303946,0.297069,0.00250215,0.26739,0.288281,0.308076,0.308956,0.315246,0.451258,0.520191,0.476501,0.00714081,0.414299,0.440686,0.520191,0.55543,0.0124574,0.0847549,-0.0370751,-0.00886532,0.0847549,0.131132,0.440686,0.288281,0.308076,0.520191,-9999,-9999
199903,0.596114,0.596109,0.597137,0.000644172,0.592933,0.595423,0.597425,0.601328,0.603787,0.623647,0.803441,0.737744,0.0177258,0.604989,0.623647,0.803441,0.882399,0.330935,0.376725,0.326625,0.329848,0.365877,0.424228,0.623647,0.595423,0.597425,0.803441,-9999,-9999
199904,1.09994,1.10124,1.11237,0.00665883,1.01464,1.09504,1.13539,1.14497,1.17162,1.24734,1.26105,1.19781,0.0141089,1.07263,1.12567,1.25927,1.34276,2.39439,2.58607,2.38817,2.41155,2.5068,2.63867,1.12567,1.09504,1.13539,1.25927,-9999,-9999
199905,2.27257,2.21003,2.26724,0.00762773,2.19576,2.21886,2.30481,2.31334,2.32726,2.06724,1.88134,2.22798,0.0298423,1.87033,2.07785,2.36807,2.43234,3.81301,3.72645,3.81301,3.89068,3.76661,3.92461,2.07785,2.21886,2.30481,2.36807,-9999,-9999
199906,5.34881,5.37602,5.45008,0.0234244,5.28933,5.36116,5.47794,5.52775,5.81141,5.3259,5.13145,5.20701,0.0198529,5.06532,5.09674,5.31201,5.39135,7.97835,8.21142,7.96841,8.07434,8.19218,8.23014,5.09674,5.36116,5.47794,5.31201,-9999,-9999
199907,5.8299,5.83842,5.78306,0.0364577,5.53913,5.5762,5.90091,5.92939,6.04544,6.06174,5.73174,5.88145,0.0291877,5.56917,5.73852,6.00435,6.17489,7.73075,8.18248,7.68466,7.92692,7.95158,8.17048,5.73852,5.5762,5.90091,6.00435,-9999,-9999
199908,4.53581,4.58986,4.65474,0.0184093,4.52297,4.58098,4.67976,4.78363,4.80587,5.76127,5.65051,5.65984,0.0345092,5.32571,5.51591,5.82356,5.92208,5.62491,6.5635,5.61999,5.74642,6.39807,6.58518,5.51591,4.58098,4.67976,5.82356,-9999,-9999
199909,4.13223,4.13143,4.14042,0.0116962,4.08971,4.11306,4.17425,4.18141,4.20196,3.80285,4.05457,4.16789,0.0535147,3.60283,3.99014,4.32353,4.57907,4.18967,4.18587,4.17499,4.22294,4.27076,4.45942,3.99014,4.11306,4.17425,4.32353,-9999,-9999
199910,2.12302,2.12021,2.11314,0.00197047,2.09341,2.10301,2.12208,2.12383,2.13393,2.02207,2.11493,2.08788,0.00495361,2.02207,2.05955,2.10977,2.13787,1.11735,1.16492,1.09742,1.12688,1.17519,1.18719,2.05955,2.10301,2.12208,2.10977,-9999,-9999
