TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
199801,3.40526,3.15793,3.40807,4.37216,3.92031,4.26642,2.30982,2.32894,4.94746,4.32087,3.93504,4.3321,-9999,-9999
199802,3.51282,3.26088,3.51705,5.14136,4.68452,5.04265,2.5103,2.52414,4.99105,5.65474,5.17708,5.67421,-9999,-9999
199803,4.01686,3.74242,4.02741,5.02122,4.41445,4.88268,3.30143,3.31963,5.19624,7.86364,7.28572,7.89897,-9999,-9999
199804,3.95631,3.68385,3.9658,7.24038,6.80512,7.222,3.15698,3.17438,5.17896,8.24572,7.58087,8.27785,-9999,-9999
199805,5.32301,5.00014,5.36194,8.98346,8.42208,8.95312,6.14238,5.69544,6.20425,10.3979,9.82936,10.4695,-9999,-9999
199806,5.72614,5.38981,5.82158,10.2511,9.85946,10.2809,7.17387,5.89459,7.23325,11.281,10.7397,11.3524,-9999,-9999
199807,6.22627,6.25761,6.34355,10.3555,10.2457,10.5874,6.32424,6.3167,6.43869,10.4435,10.2188,10.6168,-9999,-9999
199808,5.75948,5.48601,5.87412,6.12264,5.92135,6.2259,5.25242,4.78255,5.1252,3.97606,3.85933,4.00484,-9999,-9999
199809,5.61667,5.50342,5.82608,4.88453,4.74995,5.0426,6.1306,5.75459,6.08468,5.05791,5.02732,5.24297,-9999,-9999
199810,4.70531,4.51386,4.92194,4.17558,4.13177,4.35568,4.18236,4.14735,4.28339,4.25707,4.19983,4.3125,-9999,-9999
199811,3.02475,2.97441,3.02322,2.58022,2.53473,2.59157,2.61055,2.36993,2.61451,2.73904,2.47429,2.80829,-9999,-9999
199812,2.22918,2.17597,2.28533,1.5364,1.51908,1.60094,2.83233,2.32612,2.63663,1.72528,1.66392,1.72922,-9999,-9999
199901,2.79926,2.74045,2.80991,2.39458,2.39458,2.46291,3.26128,3.16294,3.2974,2.70204,2.65129,2.72313,-9999,-9999
199902,2.67538,2.65497,2.83849,2.56648,2.5535,2.6983,2.00535,1.98883,2.02253,2.46493,2.40874,2.44557,-9999,-9999
199903,2.49229,2.3876,2.49055,3.65156,3.55743,3.63962,2.86966,2.85551,2.95813,3.99074,3.94989,4.00267,-9999,-9999
199904,3.31929,3.27644,3.33186,4.77489,4.7308,4.77767,3.58535,3.53352,3.65019,4.93166,4.86068,4.92834,-9999,-9999
199905,5.02088,4.78439,5.05309,6.80319,6.62754,6.84038,5.38533,5.25622,5.45541,7.24341,7.11118,7.17702,-9999,-9999
199906,4.44088,4.28044,4.95448,7.86497,7.56011,8.26688,8.38976,7.47849,8.95411,10.3107,9.44161,10.3107,-9999,-9999
199907,5.02574,4.75348,5.66932,7.6861,7.2566,8.22824,11.2583,10.1773,12.0125,10.3974,9.38982,10.3974,-9999,-9999
199908,4.99697,4.73608,5.63384,7.7222,7.34716,8.16795,11.1055,9.99343,11.858,9.44733,8.51162,9.44733,-9999,-9999
199909,4.74391,4.55426,5.3326,8.496,8.08294,8.76952,10.2006,9.11174,10.9171,7.92047,7.09164,7.92047,-9999,-9999
199910,3.90399,3.783,4.33162,7.65405,7.31934,7.76808,7.13445,6.03207,7.40253,6.45468,5.72416,6.45468,-9999,-9999
199911,2.73949,2.73825,3.06205,5.81611,5.72418,6.01688,3.89166,3.26239,4.09037,4.83499,4.22309,4.83499,-9999,-9999
199912,2.74527,2.74401,3.06822,4.64246,4.59501,4.96342,3.87111,3.23098,4.08024,3.74753,3.23551,3.74753,-9999,-9999
200001,2.90514,2.96597,3.17326,4.84204,4.68368,5.04345,5.42542,3.81784,5.5101,3.88377,3.58628,4.0695,-9999,-9999
200002,3.79156,3.85377,4.03302,4.36821,4.23781,4.50107,5.84256,4.80999,6.02623,4.84886,4.54245,5.05767,-9999,-9999
200003,3.92264,3.98402,4.1687,4.68471,4.48411,4.71906,5.8874,4.89154,6.07248,7.3387,7.04352,7.57866,-9999,-9999
