TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
200001,1.60266,1.56256,1.66498,2.59646,2.56359,2.65272,1.97855,1.56183,3.67729,4.34107,4.66614,1.70258,1.64808,2.47475,-9999,-9999
200002,2.09372,2.04087,2.15288,3.08162,3.04887,3.13362,2.10807,1.66408,3.91802,4.62525,4.97161,2.24726,2.17879,3.04563,-9999,-9999
200003,2.30224,2.25397,2.35564,3.29603,3.26684,3.34765,2.14512,1.69332,3.98687,4.70653,5.05897,3.03122,2.9419,3.91073,-9999,-9999
200004,2.4779,2.43022,2.53139,3.46884,3.44071,3.52333,2.19049,1.72914,4.0712,4.80609,5.16598,3.18231,3.08981,4.07684,-9999,-9999
200005,3.52443,3.50452,3.55419,4.58667,4.5288,4.59144,2.36768,1.86901,4.40052,5.19484,5.58385,3.95974,3.84941,4.92629,-9999,-9999
200006,4.10556,4.10322,4.10616,5.2438,4.94381,5.28303,2.44912,1.9333,4.55188,5.37353,5.77592,4.53399,4.41202,5.54817,-9999,-9999
200007,4.20464,4.19944,4.21332,5.17093,4.82216,5.24069,2.47116,1.95069,4.59662,5.4295,5.87771,4.40977,4.28925,5.41642,-9999,-9999
200008,2.10613,2.1401,2.47682,2.72777,2.72489,3.01792,1.39741,1.1304,1.87008,2.02805,2.18891,2.34996,2.03289,2.38117,-9999,-9999
200009,1.20361,1.07296,1.47553,1.59185,1.52675,1.82286,1.33081,1.33389,2.24505,3.34759,4.05745,2.35667,1.0095,2.65991,-9999,-9999
200010,2.35613,2.38399,2.47576,2.74104,2.44858,2.88584,2.11433,2.16556,2.84679,3.14633,3.61237,3.42993,3.34061,3.67454,-9999,-9999
